date,period,cpi_total,cpi_core,cpi_energy,cpi_services,cpi_goods,cpi_food
2002-01-01,2002M01,58.717,62.584,45.925,57.838,69.286,50.279
2002-02-01,2002M02,58.768,62.657,46.025,58.102,69.175,50.263
2002-03-01,2002M03,59.253,63.107,46.897,58.535,69.944,50.531
2002-04-01,2002M04,60.058,63.905,48.069,58.72,71.648,50.854
2002-05-01,2002M05,60.274,64.138,48.179,58.888,71.928,51.071
2002-06-01,2002M06,60.277,64.269,47.266,59.112,71.603,51.198
2002-07-01,2002M07,59.858,63.655,47.394,59.445,69.858,51.406
2002-08-01,2002M08,60.03,63.791,47.558,59.78,69.828,51.644
2002-09-01,2002M09,60.255,63.953,47.953,59.589,70.481,51.906
2002-10-01,2002M10,60.851,64.668,48.211,59.609,72.146,51.999
2002-11-01,2002M11,60.946,64.957,46.95,59.479,72.501,52.073
2002-12-01,2002M12,61.148,65.078,47.378,59.748,72.571,52.386
2003-01-01,2003M01,60.896,64.561,48.439,60.13,71.214,52.67
2003-02-01,2003M02,61.026,64.726,49.093,60.345,71.416,52.52
2003-03-01,2003M03,61.449,65.138,49.775,60.645,72.196,52.703
2003-04-01,2003M04,61.949,65.986,48.469,61.044,73.227,52.724
2003-05-01,2003M05,61.892,66.062,47.262,60.932,73.061,52.866
2003-06-01,2003M06,61.933,66.139,46.976,61.163,72.872,52.955
2003-07-01,2003M07,61.545,65.474,47.408,61.569,71.06,53.242
2003-08-01,2003M08,61.827,65.609,48.062,61.975,71.119,53.687
2003-09-01,2003M09,62.011,65.731,47.862,61.692,71.601,54.138
2003-10-01,2003M10,62.429,66.379,47.348,61.801,72.692,54.168
2003-11-01,2003M11,62.633,66.621,47.484,61.692,73.341,54.244
2003-12-01,2003M12,62.74,66.72,47.342,61.924,73.236,54.463
2004-01-01,2004M01,62.3,66.067,47.631,62.297,71.309,54.736
2004-02-01,2004M02,62.329,66.203,47.844,62.546,71.29,54.535
2004-03-01,2004M03,62.764,66.6,48.546,62.851,72.043,54.805
2004-04-01,2004M04,63.623,67.595,49.167,63.314,73.899,55.065
2004-05-01,2004M05,63.999,67.837,50.374,63.226,74.674,55.306
2004-06-01,2004M06,64.1,68.003,50.363,63.497,74.641,55.311
2004-07-01,2004M07,63.614,67.296,50.516,63.864,72.607,55.545
2004-08-01,2004M08,63.895,67.494,51.425,64.269,72.889,55.7
2004-09-01,2004M09,64.009,67.652,51.465,64.015,73.482,55.719
2004-10-01,2004M10,64.667,68.292,52.824,64.047,75.398,55.735
2004-11-01,2004M11,64.828,68.559,52.205,64.034,75.733,55.931
2004-12-01,2004M12,64.765,68.653,50.92,64.269,75.177,56.078
2005-01-01,2005M01,64.219,67.938,50.508,64.646,72.854,56.464
2005-02-01,2005M02,64.386,68.056,51.501,64.98,73.071,56.366
2005-03-01,2005M03,64.895,68.543,52.504,65.39,73.972,56.588
2005-04-01,2005M04,65.83,69.459,53.892,65.543,76.103,56.945
2005-05-01,2005M05,65.956,69.633,53.787,65.619,76.35,57.003
