Niveles y tasas;Tipo de dato;Agregados macroeconómicos: Nivel 1;Agregados macroeconómicos: Nivel 2;Periodo;Total
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;1995T1;67,0160
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;1995T2;67,4578
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;1995T3;67,7565
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;1995T4;68,2696
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;1996T1;68,6618
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;1996T2;69,1367
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;1996T3;69,7039
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;1996T4;70,0506
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;1997T1;70,7492
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;1997T2;71,3873
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;1997T3;72,1797
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;1997T4;73,1935
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;1998T1;73,8099
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;1998T2;74,6204
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;1998T3;75,3312
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;1998T4;76,1168
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;1999T1;76,8665
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;1999T2;77,7474
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;1999T3;78,8054
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;1999T4;79,6803
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2000T1;80,9388
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2000T2;81,9619
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2000T3;82,7977
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2000T4;83,6841
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2001T1;84,5337
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2001T2;85,1909
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2001T3;86,0098
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2001T4;86,5571
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2002T1;86,9663
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2002T2;87,6954
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2002T3;88,1866
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2002T4;88,8751
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2003T1;89,7318
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2003T2;90,0757
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2003T3;90,7465
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2003T4;91,5074
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2004T1;92,0428
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2004T2;93,0202
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2004T3;93,8046
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2004T4;94,4704
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2005T1;95,3145
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2005T2;96,1605
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2005T3;97,0812
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2005T4;98,0397
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2006T1;99,1800
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2006T2;100,0727
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2006T3;101,0174
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2006T4;101,9575
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2007T1;102,8843
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2007T2;103,7872
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2007T3;104,5653
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2007T4;105,2036
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2008T1;105,4004
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2008T2;105,4375
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2008T3;105,2145
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2008T4;103,5829
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2009T1;100,8130
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2009T2;100,8790
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2009T3;101,0778
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2009T4;101,0532
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2010T1;100,9631
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2010T2;101,0876
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2010T3;101,0240
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2010T4;101,1283
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2011T1;101,0488
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2011T2;100,7872
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2011T3;100,1722
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2011T4;99,6082
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2012T1;98,6707
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2012T2;97,7143
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2012T3;97,2656
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2012T4;96,4591
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2013T1;96,1940
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2013T2;96,0953
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2013T3;96,0347
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2013T4;96,2174
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2014T1;96,5811
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2014T2;97,1027
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2014T3;97,8791
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2014T4;98,8254
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2015T1;100,0285
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2015T2;101,1486
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2015T3;102,0763
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2015T4;102,9879
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2016T1;103,7035
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2016T2;104,0465
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2016T3;104,8690
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2016T4;105,4650
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2017T1;106,2117
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2017T2;107,3223
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2017T3;108,0003
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2017T4;108,6577
Dato base;Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;2018T1;109,1224
