date,pop_16plus,active,employed,unemployment_rate
2002-01-01,34470.6,18635.1,16482.3,11.55
2002-04-01,34639.4,18870.2,16766.9,11.15
2002-07-01,34804.8,19115.3,16919.3,11.49
2002-10-01,34982.4,19224.3,16991.9,11.61
2003-01-01,35134.1,19421.2,17092.7,11.99
2003-04-01,35288.6,19639.2,17423.2,11.28
2003-07-01,35430.7,19893.5,17646.0,11.3
2003-10-01,35582.9,20017.1,17740.5,11.37
2004-01-01,35704.9,20080.0,17770.2,11.5
2004-04-01,35838.4,20266.5,18018.9,11.09
2004-07-01,35987.6,20488.9,18289.1,10.74
2004-10-01,36184.3,20667.7,18490.8,10.53
2005-01-01,36351.4,20857.4,18736.1,10.17
2005-04-01,36519.2,21129.7,19160.6,9.32
2005-07-01,36650.6,21205.6,19422.1,8.41
2005-10-01,36796.4,21369.5,19509.2,8.71
2006-01-01,36917.5,21521.3,19578.4,9.03
2006-04-01,37055.7,21726.0,19891.6,8.44
2006-07-01,37209.5,21857.8,20091.0,8.08
2006-10-01,37388.6,22014.8,20195.4,8.26
2007-01-01,37570.9,22130.8,20267.5,8.42
2007-04-01,37743.9,22354.1,20580.9,7.93
2007-07-01,37916.4,22559.6,20753.4,8.01
2007-10-01,38101.1,22659.9,20717.9,8.57
2008-01-01,38224.5,22810.4,20620.0,9.6
2008-04-01,38341.7,23032.6,20646.9,10.36
2008-07-01,38447.8,23157.1,20556.4,11.23
2008-10-01,38546.6,23262.1,20055.3,13.79
2009-01-01,38589.3,23302.6,19284.4,17.24
2009-04-01,38631.4,23293.8,19154.2,17.77
2009-07-01,38670.1,23219.8,19098.4,17.75
2009-10-01,38713.0,23225.4,18890.4,18.66
2010-01-01,38725.0,23270.5,18652.9,19.84
2010-04-01,38745.0,23406.4,18751.1,19.89
2010-07-01,38768.7,23404.4,18819.0,19.59
2010-10-01,38801.8,23377.1,18674.9,20.11
2011-01-01,38808.7,23347.3,18426.2,21.08
2011-04-01,38827.1,23466.2,18622.0,20.64
2011-07-01,38851.6,23482.5,18484.5,21.28
2011-10-01,38881.9,23440.3,18153.0,22.56
2012-01-01,38854.2,23433.0,17765.1,24.19
2012-04-01,38823.6,23489.5,17758.5,24.4
2012-07-01,38799.1,23491.9,17667.7,24.79
2012-10-01,38783.1,23360.4,17339.4,25.77
2013-01-01,38733.2,23308.4,17030.2,26.94
2013-04-01,38680.7,23207.9,17160.6,26.06
2013-07-01,38597.3,23173.4,17230.0,25.65
2013-10-01,38543.2,23070.9,17135.2,25.73
2014-01-01,38483.6,22883.9,16950.6,25.93
2014-04-01,38528.1,22975.9,17353.0,24.47
2014-07-01,38523.2,22931.7,17504.0,23.67
2014-10-01,38523.4,23026.8,17569.1,23.7
2015-01-01,38517.2,22899.4,17454.8,23.78
2015-04-01,38496.6,23015.5,17866.5,22.37
2015-07-01,38486.8,22899.5,18048.7,21.18
2015-10-01,38489.6,22873.7,18094.2,20.9
2016-01-01,38491.9,22821.0,18029.6,21.0
2016-04-01,38505.7,22875.7,18301.0,20.0
2016-07-01,38543.6,22848.3,18527.5,18.91
2016-10-01,38584.9,22745.9,18508.1,18.63
2017-01-01,38608.0,22693.3,18438.3,18.75
2017-04-01,38629.1,22727.6,18813.3,17.22
2017-07-01,38662.7,22780.9,19049.2,16.38
2017-10-01,38716.6,22765.0,18998.4,16.55
2018-01-01,38779.8,22670.3,18874.2,16.74
2018-04-01,38835.4,22834.2,19344.1,15.28
2018-07-01,38912.4,22854.0,19528.0,14.55
2018-10-01,39019.5,22868.8,19564.6,14.45
2019-01-01,39114.7,22825.4,19471.1,14.7
2019-04-01,39213.1,23035.5,19804.9,14.02
2019-07-01,39322.0,23088.7,19874.3,13.92
2019-10-01,39427.2,23158.8,19966.9,13.78
2020-01-01,39520.1,22994.2,19681.3,14.41
2020-04-01,39563.9,21975.2,18607.2,15.33
2020-07-01,39595.8,22899.8,19176.9,16.26
2020-10-01,39635.5,23064.1,19344.3,16.13
2021-01-01,39857.6,22943.0,19239.6,16.14
2021-04-01,39887.3,23302.5,19716.1,15.39
2021-07-01,39942.7,23570.6,20103.3,14.71
2021-10-01,40016.5,23423.5,20274.8,13.44
2022-01-01,40116.9,23411.3,20196.7,13.73
2022-04-01,40277.1,23601.9,20607.2,12.69
2022-07-01,40456.0,23771.2,20745.4,12.73
2022-10-01,40619.1,23722.3,20640.7,12.99
2023-01-01,40761.2,23820.5,20634.2,13.38
2023-04-01,40891.5,24066.7,21258.4,11.67
2023-07-01,41057.1,24341.0,21446.5,11.89
2023-10-01,41221.1,24250.6,21389.7,11.8
2024-01-01,41326.5,24227.9,21250.0,12.29
2024-04-01,41497.0,24440.0,21684.7,11.27
2024-07-01,41629.6,24577.1,21823.0,11.21
2024-10-01,41810.1,24453.3,21857.9,10.61
2025-01-01,41921.3,24554.5,21765.4,11.36
2025-04-01,42048.5,24821.8,22268.7,10.29
2025-07-01,42161.5,25000.3,22387.1,10.45
2025-10-01,42315.3,24940.4,22463.3,9.93
2026-01-01,42478.4,25001.6,22293.0,10.83
2026-04-01,42626.4,25274.3,22779.0,9.87
